x                       ,y                       ,z
-1.985965517037336e-06  ,-1.870088586842059e-11  ,1.2397421591051061e-05
-2.006930992920486e-06  ,-1.8923126826170708e-11 ,1.2534369982913907e-05
-2.0278790122812973e-06 ,-1.9051721435928945e-11 ,1.2671328437907636e-05
-2.048811795565819e-06  ,-1.9269047723230635e-11 ,1.280828997377026e-05
-2.069725590567173e-06  ,-1.9394539466014623e-11 ,1.2945258334035037e-05
-2.0906217312877118e-06 ,-1.9607226871501556e-11 ,1.3082230198441236e-05
-2.111499322610122e-06  ,-1.97332398042459e-11   ,1.3219203249398292e-05
-2.1323572751280606e-06 ,-1.9944032979364977e-11 ,1.3356181223500574e-05
-2.153196213341979e-06  ,-2.00693601330594e-11   ,1.3493158604327427e-05
-2.1740151536636665e-06 ,-2.028029748906797e-11  ,1.3630139426845655e-05
-2.194813638126125e-06  ,-2.0403502031136132e-11 ,1.3767121491425893e-05
-2.2155931759387792e-06 ,-2.058592632584621e-11  ,1.3904102523845663e-05
-2.2363513818568492e-06 ,-2.0807071964116407e-11 ,1.4041086997956809e-05
-2.257089858764827e-06  ,-2.0883916751855008e-11 ,1.417806955866796e-05
-2.277807376743768e-06  ,-2.1142749877033645e-11 ,1.4315055141267408e-05
-2.2985048604012848e-06 ,-2.1219691570635368e-11 ,1.4452038619647278e-05
-2.31918148747845e-06   ,-2.147931248939451e-11  ,1.458902433928988e-05
-2.339836985623678e-06  ,-2.1554049620932326e-11 ,1.4726010324345173e-05
-2.36047311731602e-06   ,-2.1815785316262967e-11 ,1.4862994477532476e-05
-2.381086936995014e-06  ,-2.1889602411201387e-11 ,1.49999815658719e-05
-2.4016816261435148e-06 ,-2.2151108322375306e-11 ,1.5136966033044152e-05
-2.4222542166496552e-06 ,-2.2225187468131782e-11 ,1.527395276403054e-05
-2.442806500482786e-06  ,-2.245354831833515e-11  ,1.5410939373586285e-05
-2.463338737851428e-06  ,-2.2628358183896105e-11 ,1.55479241408657e-05
-2.48384875688179e-06   ,-2.2749664260431676e-11 ,1.568491168717212e-05
-2.504339543032974e-06  ,-2.296164717273451e-11  ,1.5821896530779367e-05
-2.524808185438987e-06  ,-2.308314663747985e-11  ,1.5958883565342363e-05
-2.545256604438717e-06  ,-2.329256923388093e-11  ,1.6095870386534372e-05
-2.565684416658276e-06  ,-2.3415701407571664e-11 ,1.623285543136954e-05
-2.5860909004526977e-06 ,-2.3623546431578263e-11 ,1.6369843017574603e-05
-2.606477067165769e-06  ,-2.374587148874938e-11  ,1.6506828104043136e-05
-2.6268421448455426e-06 ,-2.3953537365287636e-11 ,1.6643815116054728e-05
-2.647185890630732e-06  ,-2.4073309015169476e-11 ,1.678080213847466e-05
-2.6675099872031094e-06 ,-2.4251570195883357e-11 ,1.6917787150350083e-05
-2.687812181156879e-06  ,-2.4468395304378068e-11 ,1.705477482329132e-05
-2.7080941811946646e-06 ,-2.4540119169145586e-11 ,1.7191759947923768e-05
-2.7283550956686e-06    ,-2.479433636180838e-11  ,1.732874698595621e-05
-2.74859466783961e-06   ,-2.4863441359521666e-11 ,1.746573403092755e-05
-2.7688147209020686e-06 ,-2.511902640451516e-11  ,1.7602719037598802e-05
-2.7890123283774715e-06 ,-2.518616723870288e-11  ,1.7739706800745658e-05
-2.8091907047084197e-06 ,-2.5440728432621378e-11 ,1.7876691814355805e-05
-2.8293468852524928e-06 ,-2.5507730750452443e-11 ,1.8013678979023062e-05
-2.8494828267777716e-06 ,-2.5759376218738477e-11 ,1.815066590429848e-05
-2.8695981337673038e-06 ,-2.5827575658821808e-11 ,1.828765102893093e-05
