,Reward
780,2.670655884687536
781,3.6662869669060627
782,2.4169990165942448
783,2.4755504681253173
784,3.7048243048547205
785,3.369443898832278
786,2.0668232969354605
787,2.262072001513597
788,3.5116616523487516
789,1.9614312497989426
790,2.236270534674946
791,2.3953411987025963
792,2.490243587312953
793,2.5542863600762313
794,3.470454731514802
795,2.3323964609003682
796,2.458323688261629
797,3.625121890095215
798,2.16914988401232
799,2.3898272628689297
800,2.524142900653412
801,3.6507579125389515
802,4.652873408224331
803,3.391559782766506
804,3.132872137887564
805,4.376864205768391
806,2.761817162038624
807,2.77674561183204
808,2.3201801147876147
809,-0.4421663918957324
810,-0.9695111391413633
811,-1.13690786447999
812,-1.2094891173491493
813,-1.252368154474115
814,-1.2795126100392213
815,-1.3104038187070624
816,-1.2799346594908332
817,-1.2965111392706417
818,-1.313547287356164
819,-1.2857916934981195
820,-1.3272271091137284
821,-1.3303520422078656
822,-1.3380389586021992
823,-1.3394624014403522
824,-1.3441364439449033
825,-1.3479862149683972
826,-1.3513161563371499
827,-1.354302569298417
828,-1.3524291531946997
829,-1.355011197104171
830,-1.3712042097111035
831,-1.354801736085384
832,-1.3526467057969063
833,-1.3560834482509825
834,-1.3595031809635547
835,-1.3625357873444013
836,-1.345546334558699
837,-1.3761215784723229
838,-1.3713912521745262
839,-1.390434010152624
840,-1.3753920719920054
841,-1.371644189737756
842,-1.3977820597503634
843,-1.3754338146303038
844,-1.3689452926201175
845,-1.375105133969181
846,-1.342075098620282
847,-1.394946179273647
848,-1.4062300905241276
849,-1.3872837017826856
850,-1.3829429530601778
851,-1.3892432483917094
852,-1.3506571718929739
853,-1.4110435584534986
854,-1.1532704231910116
855,-1.0565937624382091
856,-1.029840379757848
857,-1.009414351604415
858,-1.0046348346359233
859,-0.9991939140159418
860,-0.9938051689069076
861,-0.9943544603539617
862,-0.9935987221863214
863,-0.9899138084908533
864,-0.9900636140254799
865,-0.9898684428713855
866,-0.9908649857051632
867,-0.9917621107250761
868,-0.9924619785580541
869,-0.9929223533229399
870,-0.9898714166031364
871,-0.989647718529931
872,-0.9889317933043383
873,8.017895722355663
874,8.644715852946346
875,4.402081732220917
876,-0.9344693958077686
877,-0.9720823493132346
878,8.460468277827049
879,-0.2837395345922562
880,-0.7863943259436734
881,0.2660969259318087
882,3.0159396228974487
883,6.375445142727749
884,3.343037630136152
885,-1.0304583324266614
886,-1.2948278693375423
887,-1.4425972575339507
888,-1.269460808148415
889,-1.485835090483164
890,-1.4981608971191318
891,-1.2791606837781033
892,-1.3257936650898048
893,-1.3517015418786271
894,-1.3671825035753646
895,-1.2670543363334277
896,-1.3808743495812557
897,-1.6252253968429944
898,-1.3567836437220473
899,-1.3811002651278605
900,-1.3944255795520677
901,-1.40262585486281
902,-1.408832166176237
903,-1.4140450033685983
904,-1.4186883414790268
905,-1.4229776404428836
906,-1.5200419847898339
907,-1.3984686404154956
908,-1.4096599689624132
909,-1.418962288434599
910,-1.426017290433612
911,-1.431929108929536
912,-1.4327590008917332
913,-1.4375104082209598
914,-1.441945813417774
915,-1.44615689983185
916,-1.450205667214226
917,-1.3683358165147266
